EmployeeID,EmployeeName,Gender,Age,Department,JobRole,Salary,Bonus,PerformanceRating,TrainingHours,AttendancePercent,LeaveDays,OvertimeHours,WorkMode,RecruitmentSource,JobSatisfaction,Attrition,AttritionFlag,AgeGroup,SalaryBand,AttendanceStatus,LeaveCategory
EMP0001,Employee_1,Male,33,Finance,Analyst,42103,13567,2,40,93.7,12,7,Hybrid,Agency,1,No,0,30-39,Low (<$70k),Good,Medium (5-15 days)
EMP0002,Employee_2,Female,37,Sales,Analyst,105901,14038,1,82,93.2,2,1,On-site,Referral,1,No,0,30-39,Medium ($70k-$120k),Good,Low (<5 days)
EMP0003,Employee_3,Female,45,Sales,Director,152314,12317,5,87,90.7,26,5,Remote,Referral,3,Yes,1,40-49,High (>$120k),Good,High (>15 days)
EMP0004,Employee_4,Female,40,Sales,Director,84535,2971,3,58,84,17,30,Remote,LinkedIn,4,No,0,40-49,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0005,Employee_5,Male,29,IT,Analyst,56103,2017,2,11,85.1,19,9,Hybrid,Referral,4,No,0,<30 (Gen Z/Young Millennial),Low (<$70k),Good,High (>15 days)
EMP0006,Employee_6,Male,52,IT,Director,138046,2415,3,57,99.3,1,20,Remote,Agency,1,No,0,50+,High (>$120k),Excellent,Low (<5 days)
EMP0007,Employee_7,Male,42,HR,Manager,130012,19480,1,23,77.8,16,9,Remote,LinkedIn,3,No,0,40-49,High (>$120k),Needs Attention,High (>15 days)
EMP0008,Employee_8,Female,38,Sales,Specialist,118278,1609,3,68,81.7,27,22,On-site,Website,4,Yes,1,30-39,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0009,Employee_9,Female,44,Finance,Specialist,52391,717,4,67,87.3,18,2,On-site,Agency,1,No,0,40-49,Low (<$70k),Good,High (>15 days)
EMP0010,Employee_10,Female,58,Finance,Specialist,142476,19945,3,67,95.9,22,31,Hybrid,Agency,3,No,0,50+,High (>$120k),Excellent,High (>15 days)
EMP0011,Employee_11,Male,37,Sales,Manager,68901,12662,3,60,79.1,12,19,Hybrid,LinkedIn,2,No,0,30-39,Low (<$70k),Needs Attention,Medium (5-15 days)
EMP0012,Employee_12,Female,27,Sales,Director,137537,6782,3,93,81.9,12,9,Hybrid,Website,3,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Needs Attention,Medium (5-15 days)
EMP0013,Employee_13,Female,29,Sales,Executive,121159,1048,3,11,76.6,0,28,On-site,Agency,3,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Needs Attention,Low (<5 days)
EMP0014,Employee_14,Male,46,IT,Director,107914,11618,4,50,92.6,1,33,Remote,Referral,5,No,0,40-49,Medium ($70k-$120k),Good,Low (<5 days)
EMP0015,Employee_15,Male,39,IT,Analyst,90357,8307,4,92,81,0,36,On-site,Agency,5,No,0,30-39,Medium ($70k-$120k),Needs Attention,Low (<5 days)
